video_name,resolution,target_bitrate,selected_bitrate,qp,PSNRY,PSNRU,PSNRV,PSNR,XPSNRY,XPSNRU,XPSNRV,XPSNR,VMAF,enc_time,dec_time
test0702,720,3400,3223.614,27.0,30.1016,47.5015,46.8918,34.3753625,31.6215,46.2773,46.313,35.2899125,56.975092,27.48,11.12
test0702,1080,4500,4537.564,29.0,33.532,48.3656,47.8198,37.172174999999996,35.6157,47.8002,47.5505,38.6306125,75.337819,45.74,23.18
test0702,1080,5800,5917.85,27.0,34.1143,49.1103,48.6032,37.7999125,36.0766,48.52,48.3434,39.165375,77.263519,51.82,25.05
test0702,1440,8100,8485.206,26.0,37.3561,49.8107,49.3639,40.4139,39.3468,49.2274,48.8843,41.7740625,86.057494,85.04,42.07
test0702,2160,11600,12374.888,27.0,39.9632,50.925,50.5252,42.653675,42.3019,50.6385,50.2482,44.3372625,91.627654,189.41,90.76
test0702,2160,16800,16504.552,25.0,41.4319,51.6327,51.2466,43.9338375,43.5208,51.3741,50.9973,45.437025,93.265702,216.88,97.3
test0703,360,145,147.584,36.0,42.6445,41.368,41.0337,42.2835875,36.4969,34.4525,36.2529,36.21085,35.090869,7.95,2.54
test0703,360,300,309.192,30.0,43.8641,42.5025,41.8067,43.436724999999996,37.8486,35.8771,37.1227,37.511424999999996,43.238114,10.45,2.74
test0703,540,600,616.308,29.0,45.9819,44.7085,44.1741,45.59675000000001,39.8776,37.7097,39.3848,39.5450125,62.248895,21.4,6.29
test0703,540,900,865.808,27.0,46.3334,45.0277,44.467,45.9368875,40.239,38.0459,39.7116,39.898937499999995,64.064286,24.82,6.44
test0703,540,1600,1540.508,24.0,46.7264,45.4385,44.8059,46.32534999999999,40.6916,38.4801,40.1582,40.348487500000005,65.915075,34.45,7.4
test0703,720,2400,2257.946,24.0,48.825,47.8225,46.9561,48.466075000000004,43.1389,41.0007,42.0019,42.729499999999994,76.24766,58.63,13.59
test0703,720,3400,3482.382,22.0,49.2129,48.1906,47.232,48.837500000000006,43.7032,41.4636,42.3625,43.2556625,77.400191,73.17,15.21
test0703,1080,4500,4200.69,24.0,51.4187,50.9343,50.5825,51.253625,45.5139,43.6546,45.3427,45.2600875,85.360907,105.54,29.5
test0703,1080,5800,6105.464,22.0,52.0526,51.6435,51.1381,51.887150000000005,46.4227,44.5376,46.081,46.14435,86.428379,124.18,31.36
test0703,1440,8100,7951.124,22.0,53.558,53.0153,53.1399,53.437900000000006,47.2538,45.2193,47.1197,46.982724999999995,90.128783,214.42,51.92
test0703,2160,11600,11128.98,23.0,57.247,55.63,56.8602,56.996525,50.1265,47.6111,50.5788,49.868612500000005,94.589016,322.28,102.43
test0703,2160,16800,16745.174,20.0,59.6607,57.5711,59.0087,59.318,52.6376,49.606,52.8312,52.28285,95.868439,376.73,108.86
test0704,360,145,153.706,44.0,24.783,35.3192,34.247,27.283025000000002,24.5595,34.3647,33.5325,26.906775,0.0,4.18,1.97
test0704,360,300,315.468,39.0,26.1281,37.0505,35.9463,28.720675,26.0495,36.1878,35.1983,28.460387500000003,0.856293,5.27,2.3
test0704,540,600,588.38,39.0,28.5393,38.7161,37.8568,30.976087500000002,28.331,37.8955,37.0624,30.617987499999998,25.111934,9.47,4.96
test0704,540,900,908.332,35.0,29.7522,40.5065,39.5994,32.3273875,29.5572,39.6629,38.7948,31.975112500000005,35.441528,10.03,5.22
test0704,540,1600,1632.336,29.0,30.7793,43.1047,42.2968,33.7596625,30.6045,42.0162,41.2855,33.3660875,45.59094,12.9,5.55
test0704,720,2400,2371.238,29.0,33.98,44.5901,43.8842,36.5442875,33.4102,43.6849,42.8973,35.880425,65.813708,18.61,8.92
test0704,720,3400,3459.294,25.0,34.6306,46.0139,45.3316,37.3911375,34.0229,45.0114,44.2143,36.670387500000004,69.819302,21.9,10.16
test0704,1080,4500,4518.22,28.0,38.8789,47.6642,47.1428,41.01005000000001,37.6555,46.5468,45.6943,39.7717625,82.553104,45.31,21.27
test0704,1080,5800,6029.536,25.0,39.6627,48.6374,48.1328,41.8433,38.2738,47.5143,46.6927,40.481225,84.60708,49.57,22.05
test0704,1440,8100,7893.954,24.0,42.0874,49.4988,48.9903,43.8766875,40.5677,48.0739,47.2525,42.341575,88.73343,81.79,38.05
test0704,2160,11600,12301.11,25.0,45.1113,51.2222,50.6858,46.571974999999995,44.7041,49.9763,49.116,45.9146125,91.963371,179.02,83.04
