video_name,resolution,target_bitrate,selected_bitrate,qp,PSNRY,PSNRU,PSNRV,PSNR,XPSNRY,XPSNRU,XPSNRV,XPSNR,VMAF,enc_time,dec_time
test0770,2160,1600,1612.712,44,35.3343,42.0986,40.6609,36.8456625,33.6717,39.6375,38.2932,34.995112500000005,57.308056,133.93,79.96
test0770,2160,2400,2306.154,41,36.9282,43.1186,41.7152,38.300374999999995,35.8979,41.0919,39.815,37.0367875,66.179314,147.41,83.73
test0770,2160,3400,3560.598,37,38.5731,45.0313,43.6912,40.0201375,37.9048,43.2044,41.99,39.07790000000001,74.762906,162.56,86.18
test0770,2160,4500,4455.192,35,39.6719,45.8949,44.633,41.0699125,38.9581,44.052,42.9063,40.0883625,79.476895,175.19,89.19
test0770,2160,5800,5620.248,33,40.7478,46.7506,45.5495,42.0983625,39.986,44.8717,43.7958,41.072937499999995,83.676557,191.3,91.65
test0770,2160,8100,8280.962,30,42.468,48.2307,47.1014,43.7675125,41.616,46.2877,45.2691,42.6566,89.372239,235.74,97.38
test0770,2160,11600,10957.606,28,43.6453,49.2139,48.1034,44.89863750000001,42.7211,47.2598,46.2554,43.730225,92.590818,264.86,103.13
test0770,2160,16800,17132.172,25,45.5218,50.6371,49.6003,46.671025,44.4915,48.6666,47.7084,45.4155,96.476835,346.32,115.09
test0771,2160,145,639.334,50,33.0555,43.2873,43.124,35.59303750000001,29.3787,39.0502,38.6182,31.742575,42.48257,118.33,74.35
test0771,2160,300,639.334,50,33.0555,43.2873,43.124,35.59303750000001,29.3787,39.0502,38.6182,31.742575,42.48257,118.33,74.35
test0771,2160,600,639.334,50,33.0555,43.2873,43.124,35.59303750000001,29.3787,39.0502,38.6182,31.742575,42.48257,118.33,74.35
test0771,2160,900,844.716,48,34.176,44.1822,43.9191,36.6446625,30.5187,40.0288,39.4415,32.8228125,50.235429,117.68,74.27
test0771,2160,1600,1621.056,43,37.1122,46.2183,45.8866,39.3472625,33.4806,42.0574,41.7601,35.5876375,66.669135,131.81,77.13
test0771,2160,2400,2576.504,39,37.9837,47.5111,47.0443,40.3072,35.5818,44.0596,43.7528,37.6629,71.720633,146.33,80.27
test0771,2160,3400,3272.966,37,39.1156,48.3384,47.8425,41.3593125,36.7043,44.8995,44.6058,38.7163875,75.994371,157.27,82.28
test0771,2160,4500,4658.974,34,40.7485,49.5216,48.9787,42.873912499999996,38.3341,46.1294,45.8315,40.245687499999995,81.104522,175.33,85.06
test0771,2160,5800,5971.132,32,41.8598,50.2962,49.7549,43.9012375,39.43,46.9682,46.6815,41.2787125,84.039836,189.77,88.31
test0771,2160,8100,7784.78,30,42.985,51.0326,50.4858,44.928549999999994,40.5893,47.7928,47.5127,42.3551625,86.582946,203.81,83.44
test0771,2160,11600,11879.974,27,44.7924,52.2397,51.7315,46.5907,42.4112,49.1745,48.9375,44.0724,89.923987,251.25,98.5
test0771,2160,16800,16067.364,25,46.1418,53.085,52.5768,47.814075,43.862,50.1221,49.8781,45.396525000000004,91.911665,288.34,102.14
test0772,2160,145,288.638,50,43.0698,48.1365,46.7905,44.16822500000001,36.2891,39.7576,38.899,37.0489,68.047997,105.31,70.41
test0772,2160,300,288.638,50,43.0698,48.1365,46.7905,44.16822500000001,36.2891,39.7576,38.899,37.0489,68.047997,105.31,70.41
